## Sus Cup 1 — G1 Tokyo Yushun (Japanese Derby)

**Date:** 2025-08-11
**Race time:** 19:06
**Room ID:** 1662 1798
**Track:** Tokyo Turf
**Distance:** 2400m — Medium
**Direction:** Left
**Weather:** Sunny
**Ground:** Firm
**Condition:** Firm
**Mood:** Great
**Season:** Spring
**Rank limit:** A Rank Max

| Pos | Uma                               | Trainer     | No. | Rank | Title             | Style | Time/Gap   | Fav |
| --: | --------------------------------- | ----------- | --: | ---- | ----------------- | ----- | ---------- | --: |
|   1 | Oguri Cap                         | GohanXGAMER |   7 | B+   | Ideal Idol        | Pace  | **2:22.5** |   8 |
|   2 | Mihono Bourbon                    | Jiinxye     |   2 | B+   | Steamy Solidarity | Front | 1 3/4 L    |   7 |
|   3 | T.M. Opera O                      | Yves        |  15 | A    | The GOAT          | Pace  | 1 1/4 L    |   3 |
|   4 | Gold Ship                         | Agnes       |   4 | A    | Unpredictable     | End   | 3 L        |   1 |
|   5 | Agnes Tachyon                     | Cyciesta    |  17 | A    | Epoch Pioneer     | Pace  | 3 L        |   5 |
|   6 | Tokai Teio                        | Cruzi       |   8 | B+   | Monarch           | Pace  | 3 L        |   6 |
|   7 | Symboli Rudolf                    | Agnes       |   9 | A    | Fan Favorite      | Late  | 1 L        |   2 |
|   8 | Narita Taishin                    | Cyciesta    |  16 | A    | The GOAT          | End   | 1 L        |   4 |
|   9 | Revival Lyric                     | NPC         |   1 | C+   | —                 | Front | 3/4 L      |  14 |
|  10 | Marine Seagull                    | NPC         |  13 | C+   | —                 | Late  | 3/4 L      |  17 |
|  11 | T.M. Opera O                      | Jiinxye     |  14 | B    | Finals Champion   | Pace  | 3/4 L      |   9 |
|  12 | Reverent                          | NPC         |  18 | C+   | —                 | End   | 3/4 L      |  15 |
|  13 | Cithara Rhythm                    | NPC         |   5 | C+   | —                 | Pace  | 1/2 L      |  12 |
|  14 | Grass Wonder                      | GohanXGAMER |   6 | B    | Finals Champion   | Late  | 1 1/4 L    |  10 |
|  15 | Silence Suzuka                    | Cruzi       |  11 | B+   | Finals Champion   | Front | 1 1/4 L    |  11 |
|  16 | Bravo Deux                        | NPC         |  10 | C+   | —                 | Front | Neck       |  16 |
|  17 | Mejiro McQueen [End of the Skies] | Nadav       |  12 | C+   | Tenno Sweep       | Pace  | Neck       |  18 |
|  18 | Vodka                             | Nadav       |   3 | B    | Double Tiara      | Pace  | 8 L        |  13 |



## Sus Cup 2 — Oka Sho

**Subtitle:** Mile Front Runners
**Date:** 2025-08-19
**Race time:** 19:19
**Room ID:** 6695 4191
**Track:** Hanshin Turf
**Distance:** 1600m — Mile
**Direction:** Right / Outer
**Weather:** Sunny
**Ground:** Firm
