Cup 21 | Agnes Tachyon | umaId: agnes-tachyon | characterUrl: None
Cup 21 | Oguri Cap | umaId: oguri-cap | characterUrl: None
Cup 21 | Oguri Cap | umaId: oguri-cap | characterUrl: None
Cup 21 | Gold Ship | umaId: gold-ship | characterUrl: None
Cup 21 | Gold Ship | umaId: gold-ship | characterUrl: None
Cup 21 | Admire Vega | umaId: admire-vega | characterUrl: None
Cup 21 | Oguri Cap | umaId: oguri-cap | characterUrl: None
Cup 21 | Narita Taishin | umaId: narita-taishin | characterUrl: None
Cup 21 | Tamamo Cross | umaId: tamamo-cross | characterUrl: None
Cup 21 | Mayano Top Gun | umaId: mayano-top-gun | characterUrl: None
Cup 21 | Meisho Doto | umaId: meisho-doto | characterUrl: None
Cup 21 | Not shown | umaId: not-shown | characterUrl: None
Cup 21 | Not shown | umaId: not-shown | characterUrl: None
Cup 21 | Matikanefukukitaru | umaId: matikanefukukitaru | characterUrl: None
Cup 21 | Grass Wonder | umaId: grass-wonder | characterUrl: None
Cup 21 | Meisho Doto | umaId: meisho-doto | characterUrl: None
Cup 21 | Seiun Sky | umaId: seiun-sky | characterUrl: None
Cup 21 | Nice Nature | umaId: nice-nature | characterUrl: None
Cup 22 | Mejiro Dober | umaId: mejiro-dober | characterUrl: None
Cup 22 | Oguri Cap | umaId: 100602 | characterUrl: None
Cup 22 | Maruzensky | umaId: maruzensky | characterUrl: None
Cup 22 | Admire Vega | umaId: admire-vega | characterUrl: None
Cup 22 | Agnes Tachyon | umaId: agnes-tachyon | characterUrl: None
Cup 22 | Oguri Cap | umaId: 100602 | characterUrl: None
Cup 22 | Narita Taishin | umaId: narita-taishin | characterUrl: None
Cup 22 | Symboli Rudolf | umaId: symboli-rudolf | characterUrl: None
Cup 22 | Fuji Kiseki | umaId: fuji-kiseki | characterUrl: None
Cup 22 | Special Week | umaId: special-week | characterUrl: None
Cup 22 | Gold Ship | umaId: gold-ship | characterUrl: None
Cup 22 | Vodka | umaId: vodka | characterUrl: None
Cup 22 | Oguri Cap | umaId: 100602 | characterUrl: None
Cup 22 | Grass Wonder | umaId: grass-wonder | characterUrl: None
Cup 22 | Mejiro Ryan | umaId: mejiro-ryan | characterUrl: None
Cup 22 | Winning Ticket | umaId: winning-ticket | characterUrl: None
Cup 22 | Special Week | umaId: special-week | characterUrl: None
Cup 22 | Super Creek | umaId: super-creek | characterUrl: None
Cup 23 | Mejiro Dober | umaId: mejiro-dober | characterUrl: None
Cup 23 | Oguri Cap | umaId: 100602 | characterUrl: None
Cup 23 | Maruzensky | umaId: maruzensky | characterUrl: None
Cup 23 | Admire Vega | umaId: admire-vega | characterUrl: None
Cup 23 | Agnes Tachyon | umaId: agnes-tachyon | characterUrl: None
Cup 23 | Oguri Cap | umaId: 100602 | characterUrl: None
Cup 23 | Narita Taishin | umaId: narita-taishin | characterUrl: None
Cup 23 | Symboli Rudolf | umaId: symboli-rudolf | characterUrl: None
